Date,High,Low,OpenPrice,Average
16/11/2020-18:02:35,392.28,372.70,379.01,381.33
16/11/2020-18:07:08,392.28,372.70,379.01,381.33
16/11/2020-18:07:29,392.28,372.70,379.01,381.33
16/11/2020-18:07:48,392.28,372.70,379.01,381.33
16/11/2020-18:08:33,392.28,372.70,379.01,381.33
16/11/2020-18:09:02,392.28,372.70,379.01,381.33
16/11/2020-18:09:21,392.28,372.70,379.01,381.33
16/11/2020-18:09:41,392.28,372.70,379.01,381.33
16/11/2020-18:10:01,392.28,372.70,379.01,381.33
16/11/2020-18:10:21,392.28,372.70,379.01,381.33
16/11/2020-18:10:41,392.28,372.70,379.01,381.33
16/11/2020-18:11:01,392.28,372.70,379.01,381.33
16/11/2020-18:11:21,392.28,372.70,379.01,381.33
16/11/2020-18:11:41,392.28,372.70,379.01,381.33
16/11/2020-18:12:01,392.28,372.70,379.01,381.33
16/11/2020-18:12:21,392.28,372.70,379.01,381.33
16/11/2020-18:12:41,392.28,372.70,379.01,381.33
16/11/2020-18:13:01,392.28,372.70,379.01,381.33
16/11/2020-18:13:21,392.28,372.70,379.01,381.33
16/11/2020-18:15:15,392.28,372.70,379.01,381.33
16/11/2020-18:15:34,392.28,372.70,379.01,381.33
